player_id,birth_year,birth_month,birth_day,birth_country,birth_state,name_first,name_last,weight,height,bats,throws,debut,debut_year,debut_ages,final_game,retired_year,retro_id,bbref_id,career_year,career_def
pittach01,1961,9,16,USA,NJ,Chris,Pittaro,170,71,B,R,1985/4/8,1985,24,1987/10/4,,pittc001,pittach01,2.49,s
thornlo01,1963,4,26,USA,AL,Lou,Thornton,185,74,L,R,1985/4/8,1985,22,1990/4/24,,thorl001,thornlo01,5.05,s
burketi01,1959,2,19,USA,NE,Tim,Burke,205,75,R,R,1985/4/8,1985,26,1992/9/22,,burkt001,burketi01,7.46,m
clemepa01,1962,2,2,USA,CA,Pat,Clements,175,72,R,L,1985/4/9,1985,23,1992/9/27,,clemp001,clemepa01,7.47,m
duncama01,1963,3,13,D.R.,San Pedro de Macoris,Mariano,Duncan,160,72,R,R,1985/4/9,1985,22,1997/9/17,,duncm001,duncama01,12.45,l
guilloz01,1964,1,20,Venezuela,Miranda,Ozzie,Guillen,150,71,L,R,1985/4/9,1985,21,2000/10/1,,guilo001,guilloz01,15.49,l
dunstsh01,1963,3,21,USA,NY,Shawon,Dunston,175,73,R,R,1985/4/9,1985,22,2002/9/29,,dunss001,dunstsh01,17.48,l
weaveji03,1959,10,10,USA,NY,Jim,Weaver,190,75,L,L,1985/4/10,1985,26,1989/9/30,,weavj001,weaveji03,4.48,s
leema02,1965,6,17,D.R.,San Pedro de Macoris,Manuel,Lee,145,70,B,R,1985/4/10,1985,20,1995/4/26,,lee-m001,leema02,10.05,l
blockte01,1959,8,18,USA,SC,Terry,Blocker,195,74,L,L,1985/4/11,1985,26,1989/6/11,,bloct001,blockte01,4.17,s
kaiseje01,1960,7,24,USA,MI,Jeff,Kaiser,195,75,R,L,1985/4/11,1985,25,1993/5/17,,kaisj001,kaiseje01,8.1,m
mcdowro01,1960,12,21,USA,OH,Roger,McDowell,175,73,R,R,1985/4/11,1985,25,1996/8/14,,mcdor001,mcdowro01,11.35,l
gallemi01,1960,10,31,USA,CA,Mike,Gallego,160,68,R,R,1985/4/11,1985,25,1997/7/23,,gallm001,gallemi01,12.29,l
kippebo01,1964,7,8,USA,IL,Bob,Kipper,200,74,R,L,1985/4/12,1985,21,1992/7/27,,kippb001,kippebo01,7.3,m
mathiro01,1958,9,25,USA,MO,Ron,Mathis,175,72,R,R,1985/4/13,1985,27,1987/7/4,,mathr001,mathiro01,2.22,s
yettri01,1962,10,6,USA,CA,Rich,Yett,187,74,R,R,1985/4/13,1985,23,1990/4/25,,yettr001,yettri01,5.04,s
trujimi01,1960,1,12,USA,CO,Mike,Trujillo,180,73,R,R,1985/4/14,1985,25,1989/6/17,,trujm001,trujimi01,4.18,s
lathabi01,1960,8,29,USA,AL,Bill,Latham,190,74,L,L,1985/4/15,1985,25,1986/10/1,,lathb001,lathabi01,1.46,s
lyonsst01,1960,6,3,USA,WA,Steve,Lyons,190,75,L,R,1985/4/15,1985,25,1993/10/3,,lyons001,lyonsst01,8.47,m
colemvi01,1961,9,22,USA,FL,Vince,Coleman,170,72,B,R,1985/4/18,1985,24,1997/4/14,,colev001,colemvi01,12,l
higuete01,1957,11,9,Mexico,Sinaloa,Teddy,Higuera,178,70,B,L,1985/4/23,1985,28,1994/8/9,,higut001,higuete01,9.3,m
gainety01,1960,12,25,USA,SC,Ty,Gainey,190,73,L,R,1985/4/24,1985,25,1987/10/3,,gaint001,gainety01,2.44,s
thompri01,1958,11,1,USA,NY,Rich,Thompson,225,75,R,R,1985/4/28,1985,27,1990/4/22,,thomr002,thompri01,4.99,s
lugour01,1962,8,12,Venezuela,Falcon,Urbano,Lugo,185,72,R,R,1985/4/28,1985,23,1990/5/11,,lugor001,lugour01,5.04,s
mccaski01,1961,4,9,CAN,ON,Kirk,McCaskill,190,73,R,R,1985/5/1,1985,24,1996/7/20,,mccak001,mccaski01,11.23,l
birtsti01,1960,9,5,USA,MI,Tim,Birtsas,240,79,L,L,1985/5/3,1985,25,1990/10/3,,birtt001,birtsti01,5.42,s
dykstle01,1963,2,10,USA,CA,Lenny,Dykstra,160,70,L,L,1985/5/3,1985,22,1996/5/18,,dyksl001,dykstle01,11.05,l
fishebr01,1962,3,18,USA,HI,Brian,Fisher,210,76,R,R,1985/5/7,1985,23,1992/10/4,,fishb001,fishebr01,7.42,m
rileser01,1960,10,2,USA,GA,Ernie,Riles,180,73,L,R,1985/5/14,1985,25,1993/10/3,,rilee001,rileser01,8.39,m
childro01,1962,2,18,USA,CA,Rocky,Childress,195,74,R,R,1985/5/17,1985,23,1988/10/1,,chilr001,childro01,3.38,s
mcdowod01,1962,8,25,USA,FL,Oddibe,McDowell,165,69,L,L,1985/5/19,1985,23,1994/8/10,,mcdoo001,mcdowod01,9.23,m
howelja02,1961,8,18,USA,AZ,Jack,Howell,180,72,L,R,1985/5/20,1985,24,1999/7/17,,howej002,howelja02,14.17,l
snydebr01,1958,2,20,USA,NJ,Brian,Snyder,185,75,L,L,1985/5/25,1985,27,1989/6/27,,snydb001,snydebr01,4.09,s
melvibo01,1961,10,28,USA,CA,Bob,Melvin,205,76,R,R,1985/5/25,1985,24,1994/8/6,,melvb001,melvibo01,9.21,m
pasquda01,1961,10,17,USA,NY,Dan,Pasqua,203,72,L,L,1985/5/30,1985,24,1994/5/1,,pasqd001,pasquda01,8.93,m
shielst01,1958,11,30,USA,AL,Steve,Shields,220,77,R,R,1985/6/1,1985,27,1989/6/19,,shies001,shielst01,4.05,s
obriech01,1960,5,1,USA,OK,Charlie,O'Brien,195,74,R,R,1985/6/2,1985,25,2000/6/21,,obric001,o'brich01,15.06,l
huntra01,1960,1,3,USA,AL,Randy,Hunt,185,72,R,R,1985/6/4,1985,25,1986/10/5,,huntr001,huntra01,1.34,s
davistr01,1960,9,12,USA,MD,Trench,Davis,171,75,L,L,1985/6/4,1985,25,1987/7/3,,davit001,davistr01,2.08,s
swiftbi02,1961,10,27,USA,ME,Bill,Swift,170,72,R,R,1985/6/7,1985,24,1998/9/11,,swifb001,swiftbi02,13.27,l
jonesch04,1957,7,13,USA,CA,Chris,Jones,183,72,L,L,1985/6/8,1985,28,1986/6/13,,jonec001,jonesch04,1.01,s
aguilri01,1961,12,31,USA,CA,Rick,Aguilera,195,76,R,R,1985/6/12,1985,24,2000/9/6,,aguir001,aguilri01,15.25,l
wilkibi01,1964,8,10,USA,WY,Bill,Wilkinson,160,70,R,L,1985/6/13,1985,21,1988/10/2,,wilkb001,wilkibi01,3.31,s
newmaal01,1960,6,30,USA,MO,Al,Newman,175,69,B,R,1985/6/14,1985,25,1992/10/3,,newma001,newmaal01,7.31,m
ontivst02,1961,3,5,USA,NM,Steve,Ontiveros,180,72,R,R,1985/6/14,1985,24,2000/10/1,,ontis001,ontivst02,15.31,l
wojnaed01,1960,8,20,USA,CT,Ed,Wojna,185,73,R,R,1985/6/16,1985,25,1989/9/30,,wojne001,wojnaed01,4.29,s
jacksda03,1963,8,22,USA,CA,Darrin,Jackson,185,72,R,R,1985/6/17,1985,22,1999/10/3,,jackd002,jacksda03,14.3,l
fordcu01,1960,10,11,USA,MS,Curt,Ford,150,70,L,R,1985/6/22,1985,25,1990/5/27,,fordc001,fordcu01,4.93,s
khalisa01,1963,12,5,USA,CA,Sam,Khalifa,170,71,R,R,1985/6/25,1985,22,1987/7/31,,khals001,khalisa01,2.1,s
sebrabo01,1961,12,11,USA,NJ,Bob,Sebra,200,74,R,R,1985/6/26,1985,24,1990/6/30,,sebrb001,sebrabo01,5.01,s
cangejo01,1963,3,10,USA,NY,John,Cangelosi,150,68,B,L,1985/6/30,1985,22,1999/9/22,,cangj001,cangejo01,14.24,l
youmafl01,1964,5,11,USA,FL,Floyd,Youmans,180,74,R,R,1985/7/1,1985,21,1989/6/24,,youmf001,youmafl01,3.98,s
pardoal01,1962,9,8,Spain,,Al,Pardo,187,74,B,R,1985/7/3,1985,23,1989/9/9,,parda001,pardoal01,4.19,s
mccarto03,1961,6,18,Germany,,Tom,McCarthy,180,72,R,R,1985/7/5,1985,24,1989/9/22,,mccam001,mccarto03,4.22,s
madissc01,1959,9,12,USA,FL,Scotti,Madison,185,71,B,R,1985/7/6,1985,26,1989/10/1,,madis001,madissc01,4.24,s
powelde01,1963,8,13,USA,GA,Dennis,Powell,175,75,R,L,1985/7/7,1985,22,1993/8/11,,powed001,powelde01,8.1,m
knudsma01,1960,10,28,USA,CO,Mark,Knudson,215,77,R,R,1985/7/8,1985,25,1993/5/14,,knudm001,knudsma01,7.85,m
lombast01,1960,4,26,USA,MA,Steve,Lombardozzi,175,72,R,R,1985/7/12,1985,25,1990/4/11,,lombs001,lombast01,4.75,s
buchabo01,1961,5,3,USA,PA,Bob,Buchanan,185,73,L,L,1985/7/13,1985,24,1989/7/16,,buchb001,buchabo01,4.01,s
buechst01,1961,9,26,USA,CA,Steve,Buechele,190,74,R,R,1985/7/19,1985,24,1995/7/29,,buecs001,buechst01,10.03,l
boevejo01,1960,10,4,USA,MO,Joe,Boever,200,73,R,R,1985/7/19,1985,25,1996/9/29,,boevj001,boevejo01,11.21,l
fieldce01,1963,9,21,USA,CA,Cecil,Fielder,230,75,R,R,1985/7/20,1985,22,1998/9/13,,fielc001,fieldce01,13.16,l
longbi01,1960,2,29,USA,OH,Bill,Long,185,72,R,R,1985/7/21,1985,25,1991/4/14,,longb002,longbi01,5.73,s
johnsjo05,1961,10,30,USA,MA,Joe,Johnson,195,74,R,R,1985/7/25,1985,24,1987/6/21,,johnj003,johnsjo05,1.91,s
kerfech01,1963,9,28,USA,MO,Charlie,Kerfeld,225,78,R,R,1985/7/27,1985,22,1990/7/19,,kerfc001,kerfech01,4.98,s
waltege01,1960,11,22,USA,IL,Gene,Walter,200,76,L,L,1985/8/9,1985,25,1988/9/30,,waltg001,waltege01,3.15,s
davisjo03,1965,1,30,USA,FL,Joel,Davis,205,77,L,R,1985/8/11,1985,20,1988/7/5,,davij002,davisjo03,2.9,s
mcculla01,1964,3,8,USA,FL,Lance,McCullers,185,73,B,R,1985/8/12,1985,21,1992/6/4,,mccul001,mcculla01,6.82,m
portuma01,1962,10,30,USA,CA,Mark,Portugal,170,72,R,R,1985/8/14,1985,23,1999/9/22,,portm001,portuma01,14.12,l
carych01,1960,3,3,USA,CA,Chuck,Cary,210,76,L,L,1985/8/22,1985,25,1993/10/2,,caryc001,carych01,8.12,m
galaran01,1961,6,18,Venezuela,Distrito Federal,Andres,Galarraga,235,75,R,R,1985/8/23,1985,24,2004/10/3,,galaa001,galaran01,19.13,l
hearrje01,1961,11,19,USA,CA,Jeff,Hearron,195,73,R,R,1985/8/25,1985,24,1986/9/28,,hearj001,hearrje01,1.09,s
davisst03,1960,8,4,USA,TX,Steve,Davis,195,73,L,L,1985/8/25,1985,25,1989/9/19,,davis002,davisst03,4.07,s
bulloer01,1960,2,16,USA,CA,Eric,Bullock,185,71,L,L,1985/8/26,1985,25,1992/4/30,,bulle001,bulloer01,6.68,m
worreto01,1959,9,28,USA,CA,Todd,Worrell,215,77,R,R,1985/8/28,1985,26,1997/9/25,,worrt001,worreto01,12.08,l
cerutjo01,1960,4,28,USA,NY,John,Cerutti,195,74,L,L,1985/9/1,1985,25,1991/10/5,,ceruj001,cerutjo01,6.1,m
willire01,1960,8,29,USA,TN,Reggie,Williams,185,71,R,R,1985/9/2,1985,25,1988/10/2,,willr001,willire01,3.08,s
gonzajo02,1964,11,23,D.R.,Puerto Plata,Jose,Gonzalez,190,74,R,R,1985/9/2,1985,21,1992/7/30,,gonzj001,gonzajo02,6.91,m
