player_id,birth_year,birth_month,birth_day,birth_country,birth_state,name_first,name_last,weight,height,bats,throws,debut,debut_year,debut_ages,final_game,retired_year,retro_id,bbref_id,career_year,career_def
pintore01,1982,7,8,Venezuela,Miranda,Renyel,Pinto,280,76,L,L,2006/5/18,2006,24,2010/6/16,,pintr001,pintore01,4.08,s
taubety01,1982,11,17,USA,WA,Ty,Taubenheim,200,77,R,R,2006/5/20,2006,24,2008/6/28,,taubt001,taubety01,2.11,s
bonsebo01,1981,10,14,USA,FL,Boof,Bonser,245,76,R,R,2006/5/21,2006,25,2010/10/3,,bonsb001,bonsebo01,4.37,s
keppebo01,1982,6,11,USA,MO,Bobby,Keppel,215,77,R,R,2006/5/25,2006,24,2009/10/6,,keppb001,keppebo01,3.37,s
riversa01,1977,12,7,P.R.,,Saul,Rivera,180,70,B,R,2006/5/25,2006,29,2010/5/29,,rives001,riversa01,4.01,s
hannaja01,1980,3,4,USA,MN,Jack,Hannahan,210,74,L,R,2006/5/25,2006,26,2014/9/27,,hannj001,hannaja01,8.35,m
costech01,1973,2,4,USA,ND,Chris,Coste,200,73,R,R,2006/5/26,2006,33,2009/10/2,,costc001,costech01,3.36,s
gonzaen01,1982,7,14,Venezuela,Bolivar,Enrique,Gonzalez,225,70,R,R,2006/5/28,2006,24,2011/6/8,,gonze002,gonzaen01,5.03,s
sanchjo01,1982,11,19,P.R.,,Jonathan,Sanchez,200,72,L,L,2006/5/28,2006,24,2013/4/29,,sancj002,sanchjo01,6.93,m
millela02,1985,4,5,USA,FL,Lastings,Milledge,210,71,R,R,2006/5/30,2006,21,2011/4/6,,milll002,millela02,4.85,s
pauleda01,1983,6,17,USA,CO,David,Pauley,215,74,R,R,2006/5/31,2006,23,2012/7/2,,pauld001,pauleda01,6.09,m
guzmajo03,1984,11,24,D.R.,San Pedro de Macoris,Joel,Guzman,225,79,R,R,2006/6/1,2006,22,2007/9/30,,guzmj004,guzmajo03,1.33,s
sanchbr01,1978,8,8,USA,TX,Brian,Sanches,190,73,R,R,2006/6/1,2006,28,2012/7/14,,sancb001,sanchbr01,6.12,m
sampsch01,1978,5,23,USA,TX,Chris,Sampson,195,73,R,R,2006/6/2,2006,28,2010/7/24,,sampc001,sampsch01,4.15,s
